frame,seconds_from_anchor,x_m,y_m,source
72,0.0,-30.376510850123218,-1.3643625549546005e-15,observed
73,0.03333333333333333,-30.001900066114047,0.03903489566155834,interpolated
74,0.06666666666666667,-29.627289282104872,0.07806979132311806,interpolated
75,0.1,-29.252678498095698,0.11710468698467777,interpolated
76,0.13333333333333333,-28.878067714086527,0.15613958264623748,observed
77,0.16666666666666666,-28.878067714086527,0.15613958264623748,interpolated
78,0.2,-28.878067714086527,0.15613958264623748,observed
79,0.23333333333333334,nan,nan,missing
80,0.26666666666666666,nan,nan,missing
81,0.3,nan,nan,missing
82,0.3333333333333333,nan,nan,missing
83,0.36666666666666664,nan,nan,missing
84,0.4,nan,nan,missing
85,0.43333333333333335,nan,nan,missing
86,0.4666666666666667,nan,nan,missing
87,0.5,nan,nan,missing
88,0.5333333333333333,-26.609170037956133,1.124880199694467,observed
89,0.5666666666666667,-26.48743585251631,1.2501203466307182,interpolated
90,0.6,-26.365701667076486,1.3753604935669692,interpolated
91,0.6333333333333333,-26.243967481636666,1.5006006405032204,interpolated
92,0.6666666666666666,-26.122233296196843,1.6258407874394716,interpolated
93,0.7,-26.00049911075702,1.7510809343757225,interpolated
94,0.7333333333333333,-25.8787649253172,1.8763210813119737,interpolated
95,0.7666666666666667,-25.757030739877376,2.001561228248225,interpolated
96,0.8,-25.635296554437552,2.126801375184476,observed
97,0.8333333333333334,-25.25231155458132,2.2406449744856736,interpolated
98,0.8666666666666667,-24.869326554725085,2.3544885737868713,interpolated
99,0.9,-24.48634155486885,2.468332173088069,interpolated
100,0.9333333333333333,-24.103356555012617,2.5821757723892667,interpolated
101,0.9666666666666667,-23.720371555156383,2.6960193716904644,observed
102,1.0,-23.784633692826237,2.8235462175211667,observed
103,1.0333333333333334,-23.784633692826237,2.8235462175211667,interpolated
104,1.0666666666666667,-23.784633692826237,2.8235462175211667,observed
105,1.1,-23.784633692826237,3.0176506246570316,observed
106,1.1333333333333333,-23.55174956685101,3.165687146274916,interpolated
107,1.1666666666666667,-23.31886544087579,3.3137236678927997,interpolated
